Number of Carbons,Number of Fluorines,Contains N,Contains O,Contains S,MONOISOTOPIC_MASS,AVERAGE_MASS,DENSITY_G/CM^3_TEST_PRED,MELTING_POINT_DEGC_TEST_PRED,ATMOSPHERIC_HYDROXYLATION_RATE_(AOH)_CM3/MOLECULE*SEC_OPERA_PRED,BIOCONCENTRATION_FACTOR_OPERA_PRED,BIODEGRADATION_HALF_LIFE_DAYS_DAYS_OPERA_PRED,BOILING_POINT_DEGC_OPERA_PRED,HENRYS_LAW_ATM-M3/MOLE_OPERA_PRED,OPERA_KM_DAYS_OPERA_PRED,OCTANOL_AIR_PARTITION_COEFF_LOGKOA_OPERA_PRED,SOIL_ADSORPTION_COEFFICIENT_KOC_L/KG_OPERA_PRED,OCTANOL_WATER_PARTITION_LOGP_OPERA_PRED,MELTING_POINT_DEGC_OPERA_PRED,VAPOR_PRESSURE_MMHG_OPERA_PRED,WATER_SOLUBILITY_MOL/L_OPERA_PRED
7,11,0,1,0,327.9957391,328.081,1.525,-49.856,0,3.85711,4.4472,83.927,0.00109421,0.16638,2.66817,506.785,3.2793,-17.5551,61.9688,0.000525095
5,6,0,1,0,207.9958983,208.059,1.585,3.613,0,5.45979,3.67522,111.349,0.000000674815,0.0741745,3.67749,58.998,2.81874,-7.85666,2.54641,0.618556
10,17,1,1,1,526.9847784,527.2,1.601,23.326,0,94.1611,4.951,196.012,0.000000000159552,2.86211,4.92044,333.651,6.79567,95.9994,0.00000502406,0.000000807215
4,6,0,1,0,182.0166337,182.065,1.333,-81.266,0,15.7189,7.57897,63.8575,0.00629917,0.193316,1.17854,125.429,1.69301,-70.8559,157.017,0.0187211
5,8,1,1,0,245.008689,245.072,1.526,61.87,0,2.07021,4.27558,141.771,0.00000000217761,0.0646495,4.50245,31.2978,2.11019,13.0461,0.0521909,0.045225
5,9,0,1,0,247.9883681,248.048,1.559,-7.833,0,78.7097,4.45077,49.994,0.00151606,0.266063,2.44226,243.453,2.30846,-46.446,2665.57,0.000106961
8,9,0,1,0,306.0302329,306.128,1.477,-68.632,0,16.4135,4.4623,98.1044,0.00104835,0.167174,3.17278,327.281,3.09294,-0.979061,22.4931,0.0018891
8,17,0,1,1,499.9374938,500.13,1.85,15.158,0,5.90952,4.92469,218.522,0,2.66175,4.74771,354.431,5.60926,185.167,0.00000247722,0.000817049
6,7,0,1,0,228.038512,228.11,1.437,-48.855,0,5.37036,4.47223,119.825,0.0000000260682,0.116219,4.08394,128.081,2.3134,3.39006,16.9574,0.00230536
6,13,0,1,1,437.8997626,438.2,1.837,26.726,0,5.94164,4.45198,238.475,0.000000000193597,0.628332,4.27439,2303.42,0.397593,231.446,0.00000000819408,0.000610025
4,5,0,0,0,148.031141,148.076,1.237,-86.02,0,24.2545,3.67565,40.0092,0.0655269,0.0979096,0.971123,287.832,1.50638,-75.0619,2809.32,0.000167056
5,8,0,1,0,232.0134401,232.073,1.489,-23.582,0,4.35015,4.45577,140.418,0.00000000739044,0.0644676,3.66512,278.5,2.19134,-27.6051,28.4527,0.000571794
5,6,0,1,0,207.9958983,208.059,1.55,9.186,0,3.15127,5.44377,69.9839,0.0000828079,0.807027,2.54851,49.6879,2.44133,-11.0987,280.721,0.000926478
7,12,0,1,0,332.0070527,332.089,1.619,-0.247,0,3.80868,4.45261,125.709,0.000000000278184,0.373135,4.09015,833.791,3.4592,16.6836,0.618343,0.000613373
6,7,0,1,0,226.0228619,226.094,1.43,-112.202,0,7.78819,3.67555,79.975,0.00462275,0.564895,2.28432,287.784,2.20545,-71.1533,272.77,0.00619781
4,10,0,1,1,301.945932,302.09,1.772,-52.235,0,8.39788,3.67624,75.1525,0.0197825,0.152978,2.25994,1016.07,3.53911,-65.9199,3930.31,0.0000374062
12,17,1,1,1,571.0109931,571.25,1.756,32.219,0,85.1367,4.95385,193.056,0.000000000149802,3.12062,7.50356,15883.4,4.8877,57.5113,0.000878464,0.000000265962
6,11,0,0,0,281.9902598,282.056,1.478,-60.432,0,91.9872,4.46752,54.3172,0.00238984,0.236256,2.20202,2065.84,3.37414,-63.457,356.924,0.0000886627
5,9,1,1,0,262.9992672,263.063,1.58,14.33,0,2.03897,4.73132,149.622,0.000000000278909,0.0813848,4.21063,84.2125,1.96686,10.46,4.95647,0.0448534
8,17,0,1,1,537.8933753,538.22,1.906,15.158,0,5.90952,4.92469,218.522,0,2.66175,4.74771,354.431,-1.07883,399.824,0.00000247722,0.000817049
6,7,0,0,0,210.0279473,210.095,1.362,-88.277,0,54.9062,4.46446,78.0568,0.0199047,0.229749,2.18574,456.802,3.95318,-31.3536,2453.96,0.000102423
7,9,0,1,0,310.0251476,310.116,1.575,-97.387,0,2.61607,4.90564,91.7583,0.000965183,0.14947,2.56644,168.738,2.11444,-3.77719,0.454719,0.0832321
5,9,0,1,0,295.973112,296.045,1.705,23.959,0,4.96348,3.67708,160.799,0.000000000105762,0.312514,3.79783,33.8412,1.84476,17.0389,0.000689778,0.00149381
10,19,0,1,0,561.9520582,562.083,1.861,-58.211,0,16.6881,3.67825,209.423,0,2.9419,4.76811,1133.5,4.62714,108.753,0.0000661012,0.000171369
5,10,0,1,0,265.9789463,266.038,1.516,-68.674,0,37.5079,4.44296,53.5783,0.00491094,0.147778,1.95762,1655.7,2.80446,-64.0753,213.042,0.000581993
10,17,0,1,0,464.0068936,464.122,1.543,-0.998,0,133.906,4.94332,154.114,0.000000000207165,2.62237,4.22187,2246.09,5.70013,47.4522,0.207088,0.000000411971
8,15,1,1,0,431.0002508,431.101,1.717,8.53,0,4.96385,4.94317,188.994,0.000000000191692,1.34452,4.15594,1668.68,3.89004,129.811,0.11083,0.0332134
9,17,1,1,1,512.9691283,513.17,1.616,21.208,0,82.0652,4.938,209.363,0.00000000125651,2.75856,4.55744,175.898,5.26594,101.837,0.000120408,0.000000799792
6,9,0,1,0,264.0196682,264.091,1.47,-80.437,0,44.78,4.44462,79.7715,0.00365482,0.1511,2.19462,320.942,2.96822,-45.2071,188.848,0.000508183
4,7,0,1,0,200.0072119,200.056,1.471,-37.408,0,2.56757,4.44456,95.016,0.000220665,0.0705442,2.79953,111.524,1.93993,-22.4078,33.183,0.0184013
3,6,1,0,0,167.0169681,167.054,1.447,-22.356,0,2.36998,7.5656,23.0157,0.0000463932,0.0716297,2.66263,14.3104,1.61326,-2.52853,135.654,0.0717748
4,5,0,1,0,162.0104055,162.059,1.376,-85.14,0,7.93721,3.67577,53.8772,0.0081378,0.243747,1.78354,228.829,1.69471,-63.141,805.046,0.000141385
5,7,0,1,0,228.0021265,228.066,1.462,-63.772,0,2.21193,3.67538,79.9666,0.0016485,0.265917,2.24439,60.9413,1.90062,-85.8857,288.279,0.0169718
5,9,0,1,0,279.9781974,280.046,1.686,13.368,0,5.46446,4.45654,156.502,0.000435924,0.0799007,3.66481,22.8757,2.08915,15.7329,1.7468,0.00105891
8,13,0,1,0,364.0132809,364.106,1.537,-2.592,0,91.4242,4.47007,121.761,0.000000000261703,0.602252,4.09576,3169.97,4.57254,22.6415,0.601138,0.0000479682
3,5,0,1,1,213.9723059,214.11,1.589,24.606,0,1.88239,4.13254,78.875,0.00478211,0.321657,2.27007,37.3455,1.91925,-15.142,19.3706,0.438095
5,8,0,1,0,229.99779,230.057,1.43,-59.261,0,79.4786,4.45037,53.4475,0.00436689,0.267468,2.44357,346.863,2.08255,-75.8962,1037.1,0.000110475
8,15,0,1,0,413.9737017,414.07,1.704,-8.692,0,4.96385,4.94317,188.994,0.000000000191692,1.34452,4.15594,1668.68,3.10642,54.2153,0.11083,0.0332134
12,23,0,1,0,599.9816625,600.118,1.776,-11.534,0,222.644,6.75326,189.009,0.000000000370327,3.00346,4.7157,86113.4,5.13105,101.302,0.00415617,0.00000341768
6,8,1,1,0,288.0145027,288.097,1.638,107.883,0,1.98915,6.58506,256.302,0,0.34919,7.84091,29.3593,1.853,167.066,0.0000000598532,0.0361155
9,17,0,1,0,463.970508,464.078,1.804,4.708,0,4.95048,4.9418,189.966,0.00000000117903,2.5965,4.19974,2832.61,3.53773,68.5126,0.00843675,0.00282096
6,7,0,1,0,240.0021265,240.077,1.588,-21.224,0,5.45374,4.73675,147.625,0.000000000173653,0.0651525,4.08186,63.8935,2.37217,-6.73253,2.67909,0.000512112
4,7,0,1,0,200.0072119,200.056,1.421,-99.691,0,46.4946,3.67648,58.466,0.00505939,0.146457,1.20735,264.517,1.82687,-117.556,263.639,0.0104781
4,9,0,1,1,337.90615,338.18,1.807,20.376,0,6.29764,4.44671,211.006,0.000000000294884,0.0823384,4.16447,491.494,0.259989,187.978,0.0000000113625,0.00724937
6,8,0,1,0,294.013834,294.097,1.576,36.914,0,1.8101,3.67687,158.376,0.000000000157787,0.354121,6.98285,14.4641,2.13185,93.2686,0.000171577,0.0606356
4,6,0,1,1,261.9734488,262.12,1.675,10.835,0,1.94202,3.67813,107.967,0.000755946,0.244341,2.52786,27.2226,2.53567,-2.86801,0.417689,0.440163
4,7,0,1,0,197.9915618,198.04,1.454,-51.428,0,13.7963,3.6757,32.9378,0.00579078,0.18833,1.59387,414.506,1.92996,-114.313,2605.04,0.000112157
12,13,0,1,0,432.0394956,432.181,1.651,-45.757,0,115.548,4.47328,139.751,0.00000513995,6.09255,4.55926,1121.02,4.28297,-1.90281,0.0432381,0.000000853512
4,7,0,1,0,200.0072119,200.056,1.429,-89.793,0,48.1544,4.58218,58.466,0.0050469,0.317457,1.20735,352.079,1.81801,-117.556,194.068,0.00489999
5,9,1,0,0,249.0200026,249.08,1.5,-18.942,0,3.56949,4.45331,66.463,0.000000000363505,0.0646173,3.73187,175.755,2.1994,-6.97323,42.1628,0.00187636
5,7,0,1,0,262.0076058,262.08,1.689,50.277,0,2.17642,7.1468,318.008,0.00000166534,0.115414,6.19995,41.1599,0.48897,132.439,0.0000000389218,2.75217
6,11,0,1,0,313.9800891,314.054,1.66,11.557,0,5.47264,4.46951,168.392,0.000000000235462,0.345396,3.82725,1066.8,2.85045,11.7561,0.903417,0.0000910797
6,10,1,0,0,281.0262308,281.097,1.538,-52.773,0,49.8304,3.67833,64.7499,0.000446221,0.0829509,2.53743,75.4159,2.8475,-7.39782,1.4153,0.00452293
6,10,0,1,0,309.9687755,310.047,1.698,-59.338,0,2.1985,4.57929,72.9938,0.0188979,0.147102,2.1896,86.0382,2.73413,-38.0406,124.125,0.00145609
6,9,0,1,0,264.0196682,264.091,1.507,-42.022,0,4.0272,4.46936,101.886,0.00000000263993,0.133788,3.81731,107.725,3.26754,-43.9494,3.61698,0.00190049
5,6,0,1,0,212.0271984,212.091,1.48,55.968,0,1.9695,3.6752,136.715,0.00000000146229,0.0865735,6.90281,74.507,0.892392,79.4533,0.124999,0.146733
4,9,0,1,1,299.9502685,300.09,1.806,20.376,0,6.29764,4.44671,211.006,0.000000000294884,0.0823384,4.16447,491.494,3.11745,105.84,0.0000000113625,0.00724937
8,9,0,1,0,292.0509684,292.145,1.454,-57.342,0,14.0087,4.48975,136.559,0.00000000258085,0.210742,4.25917,498.105,4.31125,9.47785,6.278,0.000255666
8,17,1,1,1,498.9534783,499.14,1.776,30.087,0,16.8213,4.94904,209.575,0.00000000125657,2.67298,4.2982,661.12,5.02071,80.7542,0.244848,0.000000781315
3,6,1,1,0,183.0118827,183.053,1.531,23.849,0,2.67489,4.59701,116.137,0.00000800666,0.069242,6.13655,11.9174,1.07116,79.1184,0.244594,0.134071
5,8,0,1,0,243.9770545,244.04,1.6,-11.272,0,5.29342,3.67564,69.7005,0.000125491,0.261461,2.75163,124.805,3.19772,-70.423,8636.51,0.00032689
6,9,0,0,0,246.0091036,246.076,1.453,-97.074,0,92.0141,4.45862,61.0082,0.004354,0.369025,1.59752,451.605,3.00348,-44.5056,2135.17,0.0000910459
4,7,0,1,0,213.9864764,214.039,1.55,13.541,0,5.48746,4.46041,120.996,0.0000500691,0.071815,3.45889,88.8749,1.43188,-17.8808,33.6124,0.00208527
6,8,0,1,0,321.9723631,322.063,1.759,94.508,0,2.48471,3.67548,265.126,0,1.10427,7.20567,44.602,2.11946,114.464,0.0000678047,1.15025
4,7,1,1,0,213.0024608,213.055,1.515,5.699,0,2.04168,4.46388,121.602,0.0000256449,0.0729754,4.19141,28.2374,2.00114,-5.096,0.215478,0.0450213